basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
Palacio de la Música;Palacio de la Música;Gran Via, 35;28013;Spain;40.420052200000;-3.704641100000;Madrid
Iglesia de Santa María la Blanca;Iglesia de Santa María la Blanca;de la Villa de Canillejas, 1;28022;Spain;40.445142632416;-3.611299395561;Madrid
Café Naves;Café Naves;de la Chopera, 14;28045;Spain;40.392226000000;-3.697704200000;Madrid
Villa Sotera;Villa Sotera;Vizconde de los Asilos, 5;28027;Spain;40.440606500000;-3.638247800000;Madrid
Nuestra Señora de la Concepción;Iglesia de Nuestra Señora de la Concepción;de Arturo Soria, 5;28027;Spain;40.438545700000;-3.638911100000;Madrid
Edificio Cava de San Miguel 11;Edificio Cava de San Miguel 11;Cava de San Miguel, 11;28080;Spain;40.415261400000;-3.708301400000;Madrid
Edificio Marqués Viudo de Pontejos 1;Edificio Marqués Viudo de Pontejos 1;del Marqués Viudo de Pontejos, 1;28012;Spain;40.415662700000;-3.704443500000;Madrid
Edificio Montano;Edificio Montano;de San Bernardino, 3;28015;Spain;40.424936500000;-3.710031300000;Madrid
Edificio Gran Via 34;Edificio Gran Via 34;Gran Vía, 34;28013;Spain;40.420464700000;-3.704030000000;Madrid
Palacio de la Duquesa de Sueca;Palacio de la Duquesa de Sueca;del Duque de Alba, 2;28012;Spain;40.411792300000;-3.706801800000;Madrid
Furiosa Gallery;Furiosa Gallery;de Almadén, 13;28014;Spain;40.411210800000;-3.694378000000;Madrid
Viaje de Agua de Amaniel;Viaje de Agua de Amaniel;de Juan XXIII, 23;28040;Spain;40.450812100000;-3.712702100000;Madrid
Monumento a los Héroes de Baler;Monumento a los Héroes de Baler;del Conde del Valle de Súchil, s/n;28015;Spain;40.430810552533;-3.707265229597;Madrid
Espacio Gallinero;Espacio Gallinero;Luis Feito, 24 Local;28047;Spain;40.391310400000;-3.744147500000;Madrid
Spain Top;Spain Top;de Alcalá, 180,  bajo D;28028;Spain;40.429403100000;-3.665680200000;Madrid
Farolero madrileño;Farolero madrileño;de Concepción Jerónima, 15;28012;Spain;40.413897200000;-3.705472200000;Madrid
Punto de Información Turística Palacio Real;Punto de Información Turística Palacio Real;de Bailén, esquina con Calle Requena;28013;Spain;40.417224995134;-3.713067770004;Madrid
archiTOURSMAD;archiTOURSMAD;de Tirso de Molina, 4;28012;Spain;40.412255200000;-3.703833000000;Madrid
Poko Espacio;Poko Espacio;Puerta del Sol, 12;28013;Spain;40.417284000000;-3.703415500000;Madrid
mk2 Institut français de Madrid;mk2 Institut français de Madrid;del Marqués de la Ensenada, 10;28004;Spain;40.424558700000;-3.692346700000;Madrid
Puerta Real del Jardín Botánico;Puerta Real del Jardín Botánico;del Prado, 11;28014;Spain;40.410559720836;-3.692263363694;Madrid
Puerta de Felipe IV;Puerta de Felipe IV;de Alfonso XII, s/n;28009;Spain;40.415309494761;-3.688681125641;Madrid
Fundación María Cristina Masaveu Peterson ;Fundación María Cristina Masaveu Peterson ;Alcalá Galiano, 6;28010;Spain;40.426676300000;-3.691599200000;Madrid
Cine Yelmo Luxury Palafox;Cine Yelmo Luxury Palafox;de Luchana, 15;28010;Spain;40.430144900000;-3.700898300000;Madrid
Sala Azca;Sala Azca;del General Perón, 40;28046;Spain;40.451372191770;-3.692715167999;Madrid
Espacio 5.1 (IFEMA - Feria de Madrid);Espacio 5.1 (IFEMA - Feria de Madrid);Ribera del Sena, 7;28042;Spain;40.467391055986;-3.623391000814;Madrid
Soho Club Teatro;Soho Club Teatro;de España, 6;28008;Spain;40.422560300000;-3.711840000000;Madrid
Espacio Delicias;Espacio Delicias;Cristo del Camino, 61;28045;Spain;40.399303400000;-3.691868200000;Madrid
The Ryder;The Ryder;de Miguel Servet, 13;28012;Spain;40.406572600000;-3.701311100000;Madrid
Vintage City Tours;Vintage City Tours;Valle de Enmedio, 111;28035;Spain;40.488229000000;-3.723941900000;Madrid
